,link,title
29,https://service.elsevier.com/app/answers/detail/a_id/9134/supporthub/publishing/,What are the EES and EVISE Retention Policies?
30,https://service.elsevier.com/app/answers/detail/a_id/26093/supporthub/publishing/,How do I remove reference manager field codes?
31,https://service.elsevier.com/app/answers/detail/a_id/258/supporthub/publishing/,How do I submit a Response to Technical Check?
32,https://service.elsevier.com/app/answers/detail/a_id/5968/supporthub/publishing/,"How can I reset a forgotten password for the editorial submission systems Editorial Manager, EES, or EVISE?"
33,https://service.elsevier.com/app/answers/detail/a_id/8408/supporthub/publishing/,What is ORCID?
34,https://service.elsevier.com/app/answers/detail/a_id/28463/supporthub/publishing/,How do I revise my submission in Editorial Manager?
35,https://service.elsevier.com/app/answers/detail/a_id/28469/supporthub/publishing/,What should I do if my organization (i.e. affiliation or funder) is not found when I am requested to add this information when completing the Rights and Access form or during submission of my article?
36,https://service.elsevier.com/app/answers/detail/a_id/4395/supporthub/publishing/,"Which browsers work best with the submission systems Editorial Manager, EES, and EVISE?"
37,https://service.elsevier.com/app/answers/detail/a_id/14652/supporthub/publishing/,What is the EVISE co-author service?
38,https://service.elsevier.com/app/answers/detail/a_id/5981/supporthub/publishing/,When will my article be published?
39,https://service.elsevier.com/app/answers/detail/a_id/8366/supporthub/publishing/,How can I submit my manuscript to EES?
40,https://service.elsevier.com/app/answers/detail/a_id/29155/supporthub/publishing/,How can I track the status of my submitted article in an editorial system?
41,https://service.elsevier.com/app/answers/detail/a_id/24234/supporthub/publishing/,What can I do if I have Elsevier Profiles registered to different email addresses?
42,https://service.elsevier.com/app/answers/detail/a_id/6986/supporthub/publishing/,How do I ensure that emails aren't blocked by spam filters?
43,https://service.elsevier.com/app/answers/detail/a_id/28465/supporthub/publishing/,How can I submit my review in Editorial Manager?
44,https://service.elsevier.com/app/answers/detail/a_id/28524/supporthub/publishing/,How do I respond to an invitation to review in Editorial Manager?
45,https://service.elsevier.com/app/answers/detail/a_id/10402/supporthub/publishing/,What file formats are supported by EVISE?
46,https://service.elsevier.com/app/answers/detail/a_id/155/supporthub/publishing/,What should be included in a cover letter?
47,https://service.elsevier.com/app/answers/detail/a_id/4342/supporthub/publishing/,How do I create an EVISE account?
48,https://service.elsevier.com/app/answers/detail/a_id/5989/supporthub/publishing/,How do I find reviewers in my submission system?
49,https://service.elsevier.com/app/answers/detail/a_id/6029/supporthub/publishing/,Which journal should I publish in?
50,https://service.elsevier.com/app/answers/detail/a_id/28461/supporthub/publishing/,How do I submit a manuscript in Editorial Manager?
51,https://service.elsevier.com/app/answers/detail/a_id/7159/supporthub/publishing/,How do I add my Elsevier account to my EES account?
52,https://service.elsevier.com/app/answers/detail/a_id/10821/supporthub/publishing/,How to contact us on Journal Article Publishing
53,https://service.elsevier.com/app/answers/detail/a_id/6011/supporthub/publishing/,Can I make a correction to my typeset article after I have returned my proofs?
54,https://service.elsevier.com/app/answers/detail/a_id/7847/supporthub/publishing/,Editor Training
55,https://service.elsevier.com/app/answers/detail/a_id/28311/supporthub/publishing/,What is my Elsevier Reviews Profile on the Reviewer Recognition Platform?
56,https://service.elsevier.com/app/answers/detail/a_id/14801/supporthub/publishing/,How can I pay for my Elsevier invoice?
57,https://service.elsevier.com/app/answers/detail/a_id/5967/supporthub/publishing/,How can I submit my corrections?
58,https://service.elsevier.com/app/answers/detail/a_id/28457/supporthub/publishing/,How do I change my personal information in Editorial Manager?
59,https://service.elsevier.com/app/answers/detail/a_id/28946/supporthub/publishing/,What is the difference between an Editorial Manager account and an Elsevier account?
60,https://service.elsevier.com/app/answers/detail/a_id/6497/supporthub/publishing/,What are the requirements for my supplementary material?
61,https://service.elsevier.com/app/answers/detail/a_id/4336/supporthub/publishing/,How do I respond to an invitation to review in EVISE?
62,https://service.elsevier.com/app/answers/detail/a_id/23080/supporthub/publishing/,Error messages in EVISE
63,https://service.elsevier.com/app/answers/detail/a_id/6008/supporthub/publishing/,Where can I find the proofs of my article?
64,https://service.elsevier.com/app/answers/detail/a_id/5991/supporthub/publishing/,Could you extend the due date of my revision?
65,https://service.elsevier.com/app/answers/detail/a_id/26152/supporthub/publishing/,How can I retrieve my existing password from my browser?
66,https://service.elsevier.com/app/answers/detail/a_id/5955/supporthub/publishing/,Is there a template available for my manuscript file?
67,https://service.elsevier.com/app/answers/detail/a_id/27771/supporthub/publishing/,How do I find the manuscript I submitted to an Elsevier journal?
68,https://service.elsevier.com/app/answers/detail/a_id/5996/supporthub/publishing/,What happens after my manuscript is accepted?
69,https://service.elsevier.com/app/answers/detail/a_id/5972/supporthub/publishing/,What does it cost to publish gold open access?
70,https://service.elsevier.com/app/answers/detail/a_id/29385/supporthub/publishing/,Reviewer Recommender in Editorial Manager
71,https://service.elsevier.com/app/answers/detail/a_id/9635/supporthub/publishing/,What to do if my equations aren’t displaying correctly in EES?
72,https://service.elsevier.com/app/answers/detail/a_id/8371/supporthub/publishing/,How do I know which submission system I am using?
73,https://service.elsevier.com/app/answers/detail/a_id/6027/supporthub/publishing/,What should I do if EES doesn’t build a correct PDF?
74,https://service.elsevier.com/app/answers/detail/a_id/22437/supporthub/publishing/,Editor Quick Guide to EES
75,https://service.elsevier.com/app/answers/detail/a_id/8582/supporthub/publishing/,How do I enable pop-ups on my web browser?
76,https://service.elsevier.com/app/answers/detail/a_id/8380/supporthub/publishing/,How can I submit my manuscript to EVISE?
77,https://service.elsevier.com/app/answers/detail/a_id/8080/supporthub/publishing/,How can I change the Corresponding Author of my manuscript in EES?
78,https://service.elsevier.com/app/answers/detail/a_id/4343/supporthub/publishing/,How do I send an email in EVISE?
79,https://service.elsevier.com/app/answers/detail/a_id/5405/supporthub/publishing/,How do I send reviewer invitations?
80,https://service.elsevier.com/app/answers/detail/a_id/6009/supporthub/publishing/,Will I get to check my proofs again?
81,https://service.elsevier.com/app/answers/detail/a_id/13740/supporthub/publishing/,How does the Article Transfer Service work for reviewers?
82,https://service.elsevier.com/app/answers/detail/a_id/27770/supporthub/publishing/,How do I find a submission I was invited to review in EVISE?
83,https://service.elsevier.com/app/answers/detail/a_id/13551/supporthub/publishing/,How can I revise my submission in EVISE?
84,https://service.elsevier.com/app/answers/detail/a_id/5998/supporthub/publishing/,How can I pay my gold open access fee?
85,https://service.elsevier.com/app/answers/detail/a_id/5975/supporthub/publishing/,Which user license should I choose?
86,https://service.elsevier.com/app/answers/detail/a_id/12937/supporthub/publishing/,How can I get permission to reproduce or re-use Elsevier content?
87,https://service.elsevier.com/app/answers/detail/a_id/28468/supporthub/publishing/,How do I find a submission I was invited to review in Editorial Manager?
88,https://service.elsevier.com/app/answers/detail/a_id/5954/supporthub/publishing/,How can I submit my LaTeX manuscript to EES?
89,https://service.elsevier.com/app/answers/detail/a_id/6014/supporthub/publishing/,How will I receive the Editor’s decision in EES?
90,https://service.elsevier.com/app/answers/detail/a_id/6020/supporthub/publishing/,What should I do if my invoice is incorrect?
91,https://service.elsevier.com/app/answers/detail/a_id/14202/supporthub/publishing/,Editor Quick Guide to EVISE
92,https://service.elsevier.com/app/answers/detail/a_id/6010/supporthub/publishing/,How does the Article Transfer Service work for authors?
93,https://service.elsevier.com/app/answers/detail/a_id/6004/supporthub/publishing/,How can I change my Scopus author profile?
94,https://service.elsevier.com/app/answers/detail/a_id/14284/supporthub/publishing/,How can I claim my reviewer certificate?
95,https://service.elsevier.com/app/answers/detail/a_id/27777/supporthub/publishing/,How do I make changes after I have submitted an article?
96,https://service.elsevier.com/app/answers/detail/a_id/5976/supporthub/publishing/,Can I submit corrections from multiple authors?
97,https://service.elsevier.com/app/answers/detail/a_id/5978/supporthub/publishing/,How do I change my profile information in EES?
98,https://service.elsevier.com/app/answers/detail/a_id/5973/supporthub/publishing/,What is Elsevier's waiver policy for open access fees?
99,https://service.elsevier.com/app/answers/detail/a_id/28458/supporthub/publishing/,How do I make a decision in Editorial Manager?
100,https://service.elsevier.com/app/answers/detail/a_id/13973/supporthub/publishing/,How do I add comments for a submission in EVISE where I am the Handling Editor?
101,https://service.elsevier.com/app/answers/detail/a_id/8601/supporthub/publishing/,Why should I integrate my submission system account with ORCID?
102,https://service.elsevier.com/app/answers/detail/a_id/5990/supporthub/publishing/,Where do I find the Impact Factor of a journal?
103,https://service.elsevier.com/app/answers/detail/a_id/26733/supporthub/publishing/,How do I submit a journal proposal?
104,https://service.elsevier.com/app/answers/detail/a_id/6002/supporthub/publishing/,Will I receive offprints of my published article or do I have to order these?
105,https://service.elsevier.com/app/answers/detail/a_id/5970/supporthub/publishing/,How do I correct my formulae?
106,https://service.elsevier.com/app/answers/detail/a_id/28224/supporthub/publishing/,How should I prepare the references in my manuscript?
107,https://service.elsevier.com/app/answers/detail/a_id/5957/supporthub/publishing/,Which open access options are available?
108,https://service.elsevier.com/app/answers/detail/a_id/29315/supporthub/publishing/,What are user roles in Editorial Manager and EES?
109,https://service.elsevier.com/app/answers/detail/a_id/10700/supporthub/publishing/,How do I include Highlights with my manuscript?
110,https://service.elsevier.com/app/answers/detail/a_id/5985/supporthub/publishing/,What should I do if I don't want to address the reviewers' comments?
111,https://service.elsevier.com/app/answers/detail/a_id/4551/supporthub/publishing/,EVISE e-learning
112,https://service.elsevier.com/app/answers/detail/a_id/8602/supporthub/publishing/,How do I link or unlink my ORCID to my profile?
113,https://service.elsevier.com/app/answers/detail/a_id/14864/supporthub/publishing/,"When will I receive my color charges, offprints or open access invoice?"
114,https://service.elsevier.com/app/answers/detail/a_id/14329/supporthub/publishing/,How do I update my email address in EVISE?
115,https://service.elsevier.com/app/answers/detail/a_id/28462/supporthub/publishing/,How can I change the Corresponding Author of my manuscript in Editorial Manager?
116,https://service.elsevier.com/app/answers/detail/a_id/5947/supporthub/publishing/,Can you check if my manuscript is suitable for submission?
117,https://service.elsevier.com/app/answers/detail/a_id/29000/supporthub/publishing/,Proof Central Video Tutorials
118,https://service.elsevier.com/app/answers/detail/a_id/6013/supporthub/publishing/,How can I withdraw my manuscript in EES?
119,https://service.elsevier.com/app/answers/detail/a_id/10707/supporthub/publishing/,Is there a submission checklist I can use?
120,https://service.elsevier.com/app/answers/detail/a_id/5994/supporthub/publishing/,Where can I find the reviewers' comments in EES?
121,https://service.elsevier.com/app/answers/detail/a_id/15615/supporthub/publishing/,Article Tracking for Editors
122,https://service.elsevier.com/app/answers/detail/a_id/28949/supporthub/publishing/,How do I link my Elsevier account to my Editorial Manager account?
123,https://service.elsevier.com/app/answers/detail/a_id/26092/supporthub/publishing/,Which EVISE file types are available to reviewers?
124,https://service.elsevier.com/app/answers/detail/a_id/29499/supporthub/publishing/,Editorial Manager Video Guides
125,https://service.elsevier.com/app/answers/detail/a_id/7644/supporthub/publishing/,Why do I need to change my EVISE password?
126,https://service.elsevier.com/app/answers/detail/a_id/4451/supporthub/publishing/,"Editor Home page, Editorial Overview & Manuscript Overview in EVISE"
127,https://service.elsevier.com/app/answers/detail/a_id/26095/supporthub/publishing/,How do I clear only my browser cache?
128,https://service.elsevier.com/app/answers/detail/a_id/28523/supporthub/publishing/,What can I do if I have Editorial Manager profiles registered to different email addresses?
129,https://service.elsevier.com/app/answers/detail/a_id/11977/supporthub/publishing/,What is the Article Transfer Service (ATS)?
130,https://service.elsevier.com/app/answers/detail/a_id/10665/supporthub/publishing/,How do I cancel my request to make my article Open Access?
131,https://service.elsevier.com/app/answers/detail/a_id/5431/supporthub/publishing/,Can I change the corresponding author during submission or revision in EVISE?
132,https://service.elsevier.com/app/answers/detail/a_id/5433/supporthub/publishing/,How do I upload an archive file during submission in EVISE?
133,https://service.elsevier.com/app/answers/detail/a_id/28467/supporthub/publishing/,How do I send an email about my submission?
134,https://service.elsevier.com/app/answers/detail/a_id/29306/supporthub/publishing/,Tutorial text: How to edit tables in Proof Central
135,https://service.elsevier.com/app/answers/detail/a_id/28466/supporthub/publishing/,How can I withdraw my manuscript in Editorial Manager?
136,https://service.elsevier.com/app/answers/detail/a_id/13565/supporthub/publishing/,How do I become a reviewer for an Elsevier journal?
137,https://service.elsevier.com/app/answers/detail/a_id/5977/supporthub/publishing/,Can I contest the Editor's decision?
138,https://service.elsevier.com/app/answers/detail/a_id/8133/supporthub/publishing/,How do I make a decision in EES?
139,https://service.elsevier.com/app/answers/detail/a_id/10396/supporthub/publishing/,What can I do if there is an error in my article on PubMed?
140,https://service.elsevier.com/app/answers/detail/a_id/10397/supporthub/publishing/,What is the difference between PubMed and PubMed Central?
141,https://service.elsevier.com/app/answers/detail/a_id/6911/supporthub/publishing/,Where can I find the submission site for a journal?
142,https://service.elsevier.com/app/answers/detail/a_id/5997/supporthub/publishing/,Can I still make my article open access if my article is already published?
143,https://service.elsevier.com/app/answers/detail/a_id/28162/supporthub/publishing/,What are the requirements for double-blind peer review?
144,https://service.elsevier.com/app/answers/detail/a_id/26014/supporthub/publishing/,What is EES co-author registration?
145,https://service.elsevier.com/app/answers/detail/a_id/6006/supporthub/publishing/,Will Elsevier post my article to PubMed Central?
146,https://service.elsevier.com/app/answers/detail/a_id/221/supporthub/publishing/,How do I provide you with my VAT/GST/CST registration number?
147,https://service.elsevier.com/app/answers/detail/a_id/27778/supporthub/publishing/,How do I withdraw a submission from EVISE?
148,https://service.elsevier.com/app/answers/detail/a_id/27736/supporthub/publishing/,Editor Guide to CrossCheck plagiarism reports
149,https://service.elsevier.com/app/answers/detail/a_id/28959/supporthub/publishing/,How do I complete the payment details page of the Rights and Access form when ordering Gold Open Access?
150,https://service.elsevier.com/app/answers/detail/a_id/16476/supporthub/publishing/,EVISE Author Introduction
151,https://service.elsevier.com/app/answers/detail/a_id/29305/supporthub/publishing/,Tutorial text: Proof Central quick walk-through
152,https://service.elsevier.com/app/answers/detail/a_id/6012/supporthub/publishing/,How can I access comments from the Editor and reviewers in EES?
153,https://service.elsevier.com/app/answers/detail/a_id/9931/supporthub/publishing/,Why am I seeing a blank page when I try to access EVISE?
154,https://service.elsevier.com/app/answers/detail/a_id/5979/supporthub/publishing/,Can I see other reviewer's comments?
155,https://service.elsevier.com/app/answers/detail/a_id/4452/supporthub/publishing/,How does an Editor view a submission's history?
156,https://service.elsevier.com/app/answers/detail/a_id/4078/supporthub/publishing/,How do I make a decision in EVISE?
157,https://service.elsevier.com/app/answers/detail/a_id/5988/supporthub/publishing/,How does Share Link work?
158,https://service.elsevier.com/app/answers/detail/a_id/29500/supporthub/publishing/,Video Guide: Discussion Forum in Editorial Manager
159,https://service.elsevier.com/app/answers/detail/a_id/6001/supporthub/publishing/,When will my article be made gold open access?
160,https://service.elsevier.com/app/answers/detail/a_id/11947/supporthub/publishing/,How do Editors view and edit Reviewer comments in EVISE?
161,https://service.elsevier.com/app/answers/detail/a_id/29194/supporthub/publishing/,What can I do if I'm using JournalFinder and cannot see the journals displayed on the screen
162,https://service.elsevier.com/app/answers/detail/a_id/5982/supporthub/publishing/,How can I share my article?
163,https://service.elsevier.com/app/answers/detail/a_id/5986/supporthub/publishing/,How should I cite my article?
164,https://service.elsevier.com/app/answers/detail/a_id/6782/supporthub/publishing/,What should I do when I experience issues with EES in my web browser?
165,https://service.elsevier.com/app/answers/detail/a_id/15778/supporthub/publishing/,How do I complete my submission after it has been transferred from EES to EVISE?
166,https://service.elsevier.com/app/answers/detail/a_id/10703/supporthub/publishing/,How do I send email reminders to Reviewers in EES or Editorial Manager?
167,https://service.elsevier.com/app/answers/detail/a_id/15772/supporthub/publishing/,How do I handle submissions that have been transferred from EES to EVISE?
168,https://service.elsevier.com/app/answers/detail/a_id/11967/supporthub/publishing/,How can an Editor search for submissions or people?
169,https://service.elsevier.com/app/answers/detail/a_id/5993/supporthub/publishing/,Why was my article not accepted?
170,https://service.elsevier.com/app/answers/detail/a_id/5966/supporthub/publishing/,What should I do if I have accepted my review task but I can’t complete it?
171,https://service.elsevier.com/app/answers/detail/a_id/5969/supporthub/publishing/,How can I suggest other reviewers when declining an invitation?
172,https://service.elsevier.com/app/answers/detail/a_id/8603/supporthub/publishing/,How do I link my manuscript to ORCID as a co-author?
173,https://service.elsevier.com/app/answers/detail/a_id/14311/supporthub/publishing/,How can I submit my research dataset along with an Elsevier article?
174,https://service.elsevier.com/app/answers/detail/a_id/14807/supporthub/publishing/,What are Crown Copyright and Open Government Licenses (OGL)?
175,https://service.elsevier.com/app/answers/detail/a_id/27796/supporthub/publishing/,How do Editors reject an EVISE submission and offer transfer to another journal (ATS)?
176,https://service.elsevier.com/app/answers/detail/a_id/29308/supporthub/publishing/,Video tutorial: How to edit tables in Proof Central
177,https://service.elsevier.com/app/answers/detail/a_id/12637/supporthub/publishing/,Why can't I see Open Access options on the Rights and Access form?
178,https://service.elsevier.com/app/answers/detail/a_id/11030/supporthub/publishing/,How do I respond to an invitation to review in EES?
179,https://service.elsevier.com/app/answers/detail/a_id/5965/supporthub/publishing/,How do I uninvite reviewers?
180,https://service.elsevier.com/app/answers/detail/a_id/13569/supporthub/publishing/,"How can I request a refund for Open Access, color figures or offprints?"
181,https://service.elsevier.com/app/answers/detail/a_id/5949/supporthub/publishing/,In which languages can I submit my manuscript?
182,https://service.elsevier.com/app/answers/detail/a_id/28695/supporthub/publishing/,How can an editor manage user records in Editorial Manager and EES?
183,https://service.elsevier.com/app/answers/detail/a_id/12605/supporthub/publishing/,How can I see my assignment in EVISE?
184,https://service.elsevier.com/app/answers/detail/a_id/12656/supporthub/publishing/,Can I request a split invoice for two institutions when ordering Open Access?
185,https://service.elsevier.com/app/answers/detail/a_id/12121/supporthub/publishing/,What reports are available in EVISE?
186,https://service.elsevier.com/app/answers/detail/a_id/5948/supporthub/publishing/,How do I find out if my journal complies with the policies of my funding body?
187,https://service.elsevier.com/app/answers/detail/a_id/27907/supporthub/publishing/,Will I get recognition for completing a review?
188,https://service.elsevier.com/app/answers/detail/a_id/6000/supporthub/publishing/,When will my article be indexed in Scopus?
189,https://service.elsevier.com/app/answers/detail/a_id/14312/supporthub/publishing/,Can I make changes to my dataset after submitting or publication?
190,https://service.elsevier.com/app/answers/detail/a_id/14795/supporthub/publishing/,How do I perform a task on behalf of another user using the Support Role in EVISE?
191,https://service.elsevier.com/app/answers/detail/a_id/29189/supporthub/publishing/,How do I use the Editor Discussion Forum feature in Editorial Manager?
192,https://service.elsevier.com/app/answers/detail/a_id/11998/supporthub/publishing/,What can I do if line numbering displays incorrectly in my submission PDF?
193,https://service.elsevier.com/app/answers/detail/a_id/14290/supporthub/publishing/,What rights do I retain as a journal author?
194,https://service.elsevier.com/app/answers/detail/a_id/11963/supporthub/publishing/,How do I submit a proposal for a Special Issue?
195,https://service.elsevier.com/app/answers/detail/a_id/5983/supporthub/publishing/,How can I promote my article?
196,https://service.elsevier.com/app/answers/detail/a_id/28525/supporthub/publishing/,How do I solicit commentary to invite an author to respond to another submission?
197,https://service.elsevier.com/app/answers/detail/a_id/11949/supporthub/publishing/,How do I view an Author’s response to Reviewer comments on a revised submission in EVISE?
198,https://service.elsevier.com/app/answers/detail/a_id/28699/supporthub/publishing/,How can Editorial Manager help prevent Duplicate Submissions?
199,https://service.elsevier.com/app/answers/detail/a_id/16479/supporthub/publishing/,EVISE Reviewer Introduction
200,https://service.elsevier.com/app/answers/detail/a_id/7161/supporthub/publishing/,Will my Elsevier account grant me full access to services like Science Direct and Scopus?
201,https://service.elsevier.com/app/answers/detail/a_id/5995/supporthub/publishing/,How can I change my Editor decision in EES?
202,https://service.elsevier.com/app/answers/detail/a_id/27661/supporthub/publishing/,What should I do if I will be changing institution or email address?
203,https://service.elsevier.com/app/answers/detail/a_id/29307/supporthub/publishing/,Tutorial text: How to edit equations in Proof Central
204,https://service.elsevier.com/app/answers/detail/a_id/28173/supporthub/publishing/,What is the Reviewer Recognition Platform?
205,https://service.elsevier.com/app/answers/detail/a_id/9538/supporthub/publishing/,National Institute of Health US (NIH)
206,https://service.elsevier.com/app/answers/detail/a_id/5984/supporthub/publishing/,Could you extend the due date of my review?
207,https://service.elsevier.com/app/answers/detail/a_id/15580/supporthub/publishing/,How do I link data to my submission in EVISE?
208,https://service.elsevier.com/app/answers/detail/a_id/6003/supporthub/publishing/,How can I access Scopus?
209,https://service.elsevier.com/app/answers/detail/a_id/10398/supporthub/publishing/,Will Elsevier Post my article to PubMed?
210,https://service.elsevier.com/app/answers/detail/a_id/12010/supporthub/publishing/,How do I review a submission for which I am the handling Editor in EVISE?
211,https://service.elsevier.com/app/answers/detail/a_id/6015/supporthub/publishing/,How can I assign a manuscript to another Editor in EES?
212,https://service.elsevier.com/app/answers/detail/a_id/11428/supporthub/publishing/,How do Editors edit a submission in EVISE?
213,https://service.elsevier.com/app/answers/detail/a_id/28464/supporthub/publishing/,How does an Editor Initiate Rebuttal to reopen a submission?
214,https://service.elsevier.com/app/answers/detail/a_id/28526/supporthub/publishing/,How do I invite authors to submit in Editorial Manager and EES?
215,https://service.elsevier.com/app/answers/detail/a_id/10265/supporthub/publishing/,Why is my view limited on the ‘Manuscript Overview’ page?
216,https://service.elsevier.com/app/answers/detail/a_id/13548/supporthub/publishing/,Am I eligible for the VSNU funding?
217,https://service.elsevier.com/app/answers/detail/a_id/13561/supporthub/publishing/,How do I include a video with my submission?
218,https://service.elsevier.com/app/answers/detail/a_id/11982/supporthub/publishing/,What roles are there in EVISE?
219,https://service.elsevier.com/app/answers/detail/a_id/29190/supporthub/publishing/,How do I participate in a discussion forum to which I was invited?
220,https://service.elsevier.com/app/answers/detail/a_id/28530/supporthub/publishing/,How do Editors edit a submission in Editorial Manager?
221,https://service.elsevier.com/app/answers/detail/a_id/14455/supporthub/publishing/,What can be customized for my journals in EVISE?
222,https://service.elsevier.com/app/answers/detail/a_id/28705/supporthub/publishing/,How can an Editor manage groups of linked submissions?
223,https://service.elsevier.com/app/answers/detail/a_id/28459/supporthub/publishing/,How does an Editor change a Decision in Editorial Manager?
224,https://service.elsevier.com/app/answers/detail/a_id/14313/supporthub/publishing/,What are the benefits of submitting research data with an article?
225,https://service.elsevier.com/app/answers/detail/a_id/11953/supporthub/publishing/,How do I invite Reviewers to review a revised submission in EVISE?
226,https://service.elsevier.com/app/answers/detail/a_id/29309/supporthub/publishing/,Video tutorial: How to edit equations in Proof Central
227,https://service.elsevier.com/app/answers/detail/a_id/25760/supporthub/publishing/,How do I use the new Editor to do List in EVISE?
228,https://service.elsevier.com/app/answers/detail/a_id/11971/supporthub/publishing/,How does an Editor invite a submission from an Author in EVISE?
229,https://service.elsevier.com/app/answers/detail/a_id/29220/supporthub/publishing/,How can I view past correspondence?
230,https://service.elsevier.com/app/answers/detail/a_id/11987/supporthub/publishing/,What Special Issue workflows are supported in EVISE?
231,https://service.elsevier.com/app/answers/detail/a_id/26720/supporthub/publishing/,How do I handle copy-editing assignments in EVISE?
232,https://service.elsevier.com/app/answers/detail/a_id/5999/supporthub/publishing/,How can I indicate funding I received if I want to publish gold open access?
233,https://service.elsevier.com/app/answers/detail/a_id/11933/supporthub/publishing/,How can users select or change Taxonomy topics in their EVISE profile?
234,https://service.elsevier.com/app/answers/detail/a_id/9944/supporthub/publishing/,Can I use Mol files and InChI keys in my submission?
235,https://service.elsevier.com/app/answers/detail/a_id/27752/supporthub/publishing/,What can I do if am having problems in signing in to Article Publication Services?
236,https://service.elsevier.com/app/answers/detail/a_id/11956/supporthub/publishing/,How do I assign or reassign a paper to another Editor in EVISE?
237,https://service.elsevier.com/app/answers/detail/a_id/11980/supporthub/publishing/,What is the Guest Editor role for Special Issues?
238,https://service.elsevier.com/app/answers/detail/a_id/27908/supporthub/publishing/,What does the role of a reviewer involve?
239,https://service.elsevier.com/app/answers/detail/a_id/14315/supporthub/publishing/,When will my dataset be made available online?
240,https://service.elsevier.com/app/answers/detail/a_id/29224/supporthub/publishing/,What is the Artwork Quality Check (AQC)?
241,https://service.elsevier.com/app/answers/detail/a_id/14291/supporthub/publishing/,How do I customize the column display in EVISE?
242,https://service.elsevier.com/app/answers/detail/a_id/6181/supporthub/publishing/,How can I change my Scopus user account?
243,https://service.elsevier.com/app/answers/detail/a_id/18065/supporthub/publishing/,How do I extend the due date of my review in EVISE?
244,https://service.elsevier.com/app/answers/detail/a_id/14316/supporthub/publishing/,Which license should I select when posting my research data?
245,https://service.elsevier.com/app/answers/detail/a_id/27906/supporthub/publishing/,Where can I get advice on composing and structuring my review?
246,https://service.elsevier.com/app/answers/detail/a_id/29510/supporthub/publishing/,Why does Editorial Manager require me to reset my password for the Elsevier Account?
247,https://service.elsevier.com/app/answers/detail/a_id/5408/supporthub/publishing/,How do I change the number of reviews required for a submission in EVISE?
